purchase_id,user_id,product_id,date,quantity
88,95,48,2022-03-29,3
89,48,12,2022-03-30,1
90,15,5,2022-03-31,8
91,72,37,2022-04-01,5
92,78,32,2022-04-02,4
93,87,9,2022-04-03,8
94,62,41,2022-04-04,7
95,40,35,2022-04-05,2
96,85,19,,1
97,80,48,2022-04-07,4
98,82,16,2022-04-08,8
99,53,3,2022-04-09,2
100,24,20,2022-04-10,3
101,26,24,2022-04-11,1
102,89,33,2022-04-12,1
103,60,24,2022-04-13,3
104,41,11,2022-04-14,5
105,29,49,2022-04-15,3
106,15,8,2022-04-16,1
107,45,36,2022-04-17,1
108,65,38,2022-04-18,8
109,89,40,2022-04-19,2
110,71,20,2022-04-20,3
111,9,35,2022-04-21,2
112,88,48,2022-04-22,3
113,1,25,2022-04-23,7
114,8,35,2022-04-24,1
115,88,25,2022-04-25,8
116,63,29,2022-04-26,2
117,11,18,2022-04-27,3
118,81,46,2022-04-28,9
119,8,18,2022-04-29,7
120,35,2,2022-04-30,4
121,35,35,2022-05-01,5
122,33,16,2022-05-02,2
123,5,41,2022-05-03,8
124,41,36,2022-05-04,4
125,28,33,2022-05-05,9
126,7,4,2022-05-06,5
127,73,33,2022-05-07,9
128,72,14,2022-05-08,4
129,12,21,2022-05-09,5
130,34,48,2022-05-10,9
131,33,20,2022-05-11,8
132,48,8,2022-05-12,3
133,23,7,2022-05-13,1
134,62,3,2022-05-14,3
135,88,17,2022-05-15,4
136,37,33,2022-05-16,2
137,99,48,2022-05-17,1
138,44,12,2022-05-18,7
139,86,22,2022-05-19,8
140,91,22,2022-05-20,7
141,35,46,2022-05-21,5
142,65,30,2022-05-22,1
143,99,38,2022-05-23,7
144,47,38,2022-05-24,7
145,78,45,2022-05-25,9
146,3,8,2022-05-26,3
147,1,27,2022-05-27,9
148,5,27,2022-05-28,1
149,90,34,2022-05-29,1
150,,21,2022-05-30,4
151,27,30,2022-05-31,9
152,9,33,2022-06-01,6
153,79,28,2022-06-02,3
154,15,47,2022-06-03,1
155,90,33,2022-06-04,4
156,42,5,2022-06-05,9
157,77,48,2022-06-06,3
158,51,19,2022-06-07,9
159,63,4,2022-06-08,7
160,96,35,2022-06-09,4
161,52,49,2022-06-10,3
162,96,17,2022-06-11,5
163,4,44,2022-06-12,5
164,94,28,2022-06-13,3
165,23,30,2022-06-14,9
166,15,29,2022-06-15,4
167,43,46,2022-06-16,5
168,29,6,2022-06-17,4
169,36,35,2022-06-18,5
170,13,41,2022-06-19,7
171,32,37,2022-06-20,9
172,71,24,2022-06-21,7
173,59,29,2022-06-22,5
174,86,49,2022-06-23,7
175,28,46,2022-06-24,5
176,66,31,2022-06-25,3
177,42,35,2022-06-26,7
178,45,33,2022-06-27,2
179,62,21,2022-06-28,9
180,57,32,2022-06-29,1
181,6,23,2022-06-30,6
182,28,33,2022-07-01,7
183,28,3,2022-07-02,8
184,44,18,2022-07-03,9
185,84,25,2022-07-04,2
186,30,42,2022-07-05,2
187,62,31,2022-07-06,5
188,75,3,2022-07-07,5
189,92,40,2022-07-08,6
190,89,46,2022-07-09,3
191,62,24,2022-07-10,8
192,97,50,2022-07-11,1
193,1,32,2022-07-12,6
194,27,47,2022-07-13,4
195,62,22,2022-07-14,1
196,77,23,2022-07-15,7
197,3,2,2022-07-16,9
198,70,27,2022-07-17,4
199,72,,2022-07-18,4
200,27,2,2022-07-19,6
